,title,total_price,condition,details,num_images
52,   Panzer Dragoon Saga  (Sega Saturn) COMPLETE Nice Condition Rare 1DAYSHIP FREE ,399.99,  Very Good ,"              SEGA's popular dragon shooter series continues with a four-CD adventure for the ages. Blending time-tested Panzer action with some of the most impressive graphics and gameplay the Saturn has ever seen, this installment is packed with mysteries and puzzles. Hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. You'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. One of the most in-depth role-playing games ever created, Panzer Dragon Saga is a lushly detailed masterpiece for gamers of all skill levels. Released in Japan under the title Azel: Panzer Dragoon RPG ",3
53,"   PANZER DRAGOON 1 for Sega Saturn, Complete w/Foam, CIB, Tested ",48.99,  Good ,"              After your countryland was destroyed by a giant airship from beyond, the only thing left to do is hop on the back of a renegade dragon and shoot your way to vengeance. Boasting a wide variety of explorable environments, Panzer Dragoon transports you through ancient ruins, dark and eerie caves, and surreal landscapes. The music should be as awe-inspiring as the surroundings as several tracks were performed by the Israeli Symphony Orchestra.<br><br>Action can be viewed from three different perspectives: first-person, a third-person large view of the dragon, and a third-person small view of the dragon. Players will fend off enemies with 360 degrees of aiming ability. Hold down the fire button to ""lock on"" to multiple enemies, then release the key to let loose a display of guided dragonfire. Panzer Dragoon uses a 3D graphics engine and features art direction similar to the works of Moebius. ",1
54,   Sega saturn console ,120.0,  Used ,,7
55,    Ultimate Mortal Kombat 3 Sega Saturn Tested Working Game Disc ,12.98,  Acceptable ,"              Ultimate Mortal Kombat 3 for the Sega Saturn continues the blood filled fighting game series. In this installment of the Shaolin Tournament, you pick one of 19 fighters in an effort to either save humankind or obliterate it. Along with the instantly available fighters there are also two bosses. Characters from all of the previous Mortal Kombat games are included, such as: Raiden, Sub-Zero, Liu Kang, Scorpion, Sonya, Johnny Cage, and Kano. They all have new combos, fatalities, and animalities. Many of the same backgrounds are here as well as four new ones. Plus, there is an eight fighter tournament mode. ",2
56,"   Sonic 3D Blast  (Sega Saturn, 1996) Disc Only - Excellent Condition ",12.2,  Like New ,"              Dr. Robotnik should find himself another hobby, because this one ain't paying off; or at least not yet. Determined yet again to collect the Chaos Emeralds and gain absolute power (over what, we're never exactly sure), The man with the Mean Bean Machine has sent out his robo-cronies to kidnap the birdlike Flickies and invade Flicky Island in search of all six Chaos Emeralds. Poor Sonic. Why can't anyone else play the hero for once?<br><br>The gameplay is familiar, but the settings are completely new. Sonic 3D Blast sticks the blue blur smack dab in the middle of a fully rendered isometric playing field, with new hazards exploring a third dimension in which to terrorize our hero.<br><br>Rescue the Flickies from the grasps of each of Robotnik's mechanized bad guys, and set them free at the end of each level. Also, keep an eye out for Tails, who'll offer you a round trip ticket to the bonus rounds where Sonic must collect enough rings to earn each emerald.<br><br>Claim each section of Flicky Island, including its snowy peaks, its grassy hills, and even an active volcano, in your pursuit of the tirelessly conniving Dr. Robotnik.<br><br>Sonic 3D Blast for Saturn features two separate endings, each displayed in full motion video. There is no save feature in Sonic 3D Blast. ",1
57,"   Albert Odyssey: Legend of Eldean  (Sega Saturn, 1997) no manual ",81.45,  Very Good ,"              Albert Odyssey: Legend of Eldean was originally released for the Super Nintendo system in Japan. It contains a menu-driven combat system that is turn-based. You control Pike and the other four members of his party. Pike is a young orphan who was raised by harpies. During the first ten years of his life all he has ever known is the peaceful ways of the forest. Now, seemingly from nowhere, monsters have begun attacking humans and violence has erupted in this magical land. When Pike's village is attacked he and his adopted sister, Laia, are turned to stone. Cirrus, a magical sword once held by his father, is able to rescue Pike but not Laia. Pike must embark on a quest in order to find a way to free his sister from stone. ",1
58,"   Ultimate Mortal Kombat 3  (Sega Saturn, 1996) ",12.32,  Good ,"              Ultimate Mortal Kombat 3 for the Sega Saturn continues the blood filled fighting game series. In this installment of the Shaolin Tournament, you pick one of 19 fighters in an effort to either save humankind or obliterate it. Along with the instantly available fighters there are also two bosses. Characters from all of the previous Mortal Kombat games are included, such as: Raiden, Sub-Zero, Liu Kang, Scorpion, Sonya, Johnny Cage, and Kano. They all have new combos, fatalities, and animalities. Many of the same backgrounds are here as well as four new ones. Plus, there is an eight fighter tournament mode. ",3
59,"   Sega Saturn Black Console (NTSC) Complete System, Tested &amp; Works Great  ",60.4,  Used ," Get back to classic video gaming with the Sega Saturn console. Dual processors and a full-color display bring a classic gaming console to life, making for quick gameplay and visuals that can be enjoyed by up to two players thanks to the dual controller ports. The Sega Saturn console was the first to accept both CDs and cartridges, giving gamers a wide selection of play possibilities. There are more than 245 games available on the classic Sega gaming console, which has its own internal memory storage and specialized memory cartridges for additional storage. Named by IGN as one of the 25 best gaming consoles of all time, the Sega Saturn console is shaped in a simple rectangle that fits onto any shelf. Place games into the Sega gaming console by lifting the top lid and inserting them directly inside. The Sega Saturn helped shape video gaming, and remains one of the best systems ever produced. A classic gaming console never goes out of style. ",5
60,"   BATTLE ARENA TOSHINDEN REMIX for Sega Saturn, Complete, CIB, Tested ",13.99,  Good ,"              Battle Arena Toshinden Remix is a port of the PlayStation game Battle Arena Toshinden. It is complete with new special effects, music, and one new character, Kupeed. Toshinden is a martial arts tournament for which all of the fighters have gathered to participate. During the action the camera angle regularly changes. Action can be viewed from a distance or close up. There are a total of ten characters in the game. Eight of them are playable while the other two, Gaia and Sho, are bosses. Story mode takes players through each character's motives for being at the tournament. Along with many hand-to-hand combat special moves, each character has a weapon. Weapons include swords, knives, claws, a whip, a stone club, and a spear. ",1
61,   Sega Saturn Battle Arena Toshinden Remix  ,22.04,  Like New ,,3
62,   Sega Saturn Console - Brand New ! ,299.0,  New ,,12
63,   Albert Odyssey - Sega Saturn - COMPLETE Original Case &amp; Manual ,145.79,  Very Good ,,1
64,   PANZER DRAGOON SAGA - SEGA SATURN - COMPLETE CIB PERFECT EXTREMELY RARE ,359.44,  Like New ,"              SEGA's popular dragon shooter series continues with a four-CD adventure for the ages. Blending time-tested Panzer action with some of the most impressive graphics and gameplay the Saturn has ever seen, this installment is packed with mysteries and puzzles. Hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. You'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. One of the most in-depth role-playing games ever created, Panzer Dragon Saga is a lushly detailed masterpiece for gamers of all skill levels. Released in Japan under the title Azel: Panzer Dragoon RPG ",8
65,"   Battle Arena Toshinden Remix  (Sega Saturn, 1996) ",18.46,  Very Good ,"              Battle Arena Toshinden Remix is a port of the PlayStation game Battle Arena Toshinden. It is complete with new special effects, music, and one new character, Kupeed. Toshinden is a martial arts tournament for which all of the fighters have gathered to participate. During the action the camera angle regularly changes. Action can be viewed from a distance or close up. There are a total of ten characters in the game. Eight of them are playable while the other two, Gaia and Sho, are bosses. Story mode takes players through each character's motives for being at the tournament. Along with many hand-to-hand combat special moves, each character has a weapon. Weapons include swords, knives, claws, a whip, a stone club, and a spear. ",3
66,   Megaman X4 X 4 - Sega Saturn - COMPLETE Original Case &amp; Manual ,140.99,  Very Good ,,1
67,"   Die Hard Arcade  (Sega Saturn, 1997) ",40.0,  Good ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",3
68,   Albert Odyssey - Sega Saturn - COMPLETE Original Case &amp; Manual ,137.79,  Very Good ,,1
69,   Sega Saturn Black Console (NTSC) ,43.05,  Used ," Get back to classic video gaming with the Sega Saturn console. Dual processors and a full-color display bring a classic gaming console to life, making for quick gameplay and visuals that can be enjoyed by up to two players thanks to the dual controller ports. The Sega Saturn console was the first to accept both CDs and cartridges, giving gamers a wide selection of play possibilities. There are more than 245 games available on the classic Sega gaming console, which has its own internal memory storage and specialized memory cartridges for additional storage. Named by IGN as one of the 25 best gaming consoles of all time, the Sega Saturn console is shaped in a simple rectangle that fits onto any shelf. Place games into the Sega gaming console by lifting the top lid and inserting them directly inside. The Sega Saturn helped shape video gaming, and remains one of the best systems ever produced. A classic gaming console never goes out of style. ",1
70,   Sega Saturn White Console System set with free game only Japanese version SS ,120.0,  Used ,,12
71,   Sega Saturn Black Console (NTSC) and memory card ,95.0,  Used ," Get back to classic video gaming with the Sega Saturn console. Dual processors and a full-color display bring a classic gaming console to life, making for quick gameplay and visuals that can be enjoyed by up to two players thanks to the dual controller ports. The Sega Saturn console was the first to accept both CDs and cartridges, giving gamers a wide selection of play possibilities. There are more than 245 games available on the classic Sega gaming console, which has its own internal memory storage and specialized memory cartridges for additional storage. Named by IGN as one of the 25 best gaming consoles of all time, the Sega Saturn console is shaped in a simple rectangle that fits onto any shelf. Place games into the Sega gaming console by lifting the top lid and inserting them directly inside. The Sega Saturn helped shape video gaming, and remains one of the best systems ever produced. A classic gaming console never goes out of style. ",2
72,   Rare Sega Saturn Black Console (NTSC) Complete! Plus two games ,71.69,  Used ," Get back to classic video gaming with the Sega Saturn console. Dual processors and a full-color display bring a classic gaming console to life, making for quick gameplay and visuals that can be enjoyed by up to two players thanks to the dual controller ports. The Sega Saturn console was the first to accept both CDs and cartridges, giving gamers a wide selection of play possibilities. There are more than 245 games available on the classic Sega gaming console, which has its own internal memory storage and specialized memory cartridges for additional storage. Named by IGN as one of the 25 best gaming consoles of all time, the Sega Saturn console is shaped in a simple rectangle that fits onto any shelf. Place games into the Sega gaming console by lifting the top lid and inserting them directly inside. The Sega Saturn helped shape video gaming, and remains one of the best systems ever produced. A classic gaming console never goes out of style. ",9
73,   WORKING SEGA SATURN CONSOLE BUNDLE WITH CONTROLLER AND GAME FREE SHIPPING ,60.99,  Used ,,7
74,"   Panzer Dragoon (Sega Saturn, 1995) disc only  ",17.98,Not Specified,,1
75,   Albert Odyssey: Legend of Eldean (Sega Saturn) * RARE* ,118.99,  Acceptable ,"              Albert Odyssey: Legend of Eldean was originally released for the Super Nintendo system in Japan. It contains a menu-driven combat system that is turn-based. You control Pike and the other four members of his party. Pike is a young orphan who was raised by harpies. During the first ten years of his life all he has ever known is the peaceful ways of the forest. Now, seemingly from nowhere, monsters have begun attacking humans and violence has erupted in this magical land. When Pike's village is attacked he and his adopted sister, Laia, are turned to stone. Cirrus, a magical sword once held by his father, is able to rescue Pike but not Laia. Pike must embark on a quest in order to find a way to free his sister from stone. ",5
76,   Sonic 3D Blast Complete Game Sega Saturn CIB ,29.99,  Good ,"              Dr. Robotnik should find himself another hobby, because this one ain't paying off; or at least not yet. Determined yet again to collect the Chaos Emeralds and gain absolute power (over what, we're never exactly sure), The man with the Mean Bean Machine has sent out his robo-cronies to kidnap the birdlike Flickies and invade Flicky Island in search of all six Chaos Emeralds. Poor Sonic. Why can't anyone else play the hero for once?<br><br>The gameplay is familiar, but the settings are completely new. Sonic 3D Blast sticks the blue blur smack dab in the middle of a fully rendered isometric playing field, with new hazards exploring a third dimension in which to terrorize our hero.<br><br>Rescue the Flickies from the grasps of each of Robotnik's mechanized bad guys, and set them free at the end of each level. Also, keep an eye out for Tails, who'll offer you a round trip ticket to the bonus rounds where Sonic must collect enough rings to earn each emerald.<br><br>Claim each section of Flicky Island, including its snowy peaks, its grassy hills, and even an active volcano, in your pursuit of the tirelessly conniving Dr. Robotnik.<br><br>Sonic 3D Blast for Saturn features two separate endings, each displayed in full motion video. There is no save feature in Sonic 3D Blast. ",2
77,"   Panzer Dragoon Saga - Disks Only (Sega Saturn, 1998) ",315.0,  Acceptable ,"              SEGA's popular dragon shooter series continues with a four-CD adventure for the ages. Blending time-tested Panzer action with some of the most impressive graphics and gameplay the Saturn has ever seen, this installment is packed with mysteries and puzzles. Hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. You'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. One of the most in-depth role-playing games ever created, Panzer Dragon Saga is a lushly detailed masterpiece for gamers of all skill levels. Released in Japan under the title Azel: Panzer Dragoon RPG ",3
78,   Sonic 3D Blast  Sega Saturn - Complete -Clean Working Disc!!! ,18.99,  Very Good ,"              Dr. Robotnik should find himself another hobby, because this one ain't paying off; or at least not yet. Determined yet again to collect the Chaos Emeralds and gain absolute power (over what, we're never exactly sure), The man with the Mean Bean Machine has sent out his robo-cronies to kidnap the birdlike Flickies and invade Flicky Island in search of all six Chaos Emeralds. Poor Sonic. Why can't anyone else play the hero for once?<br><br>The gameplay is familiar, but the settings are completely new. Sonic 3D Blast sticks the blue blur smack dab in the middle of a fully rendered isometric playing field, with new hazards exploring a third dimension in which to terrorize our hero.<br><br>Rescue the Flickies from the grasps of each of Robotnik's mechanized bad guys, and set them free at the end of each level. Also, keep an eye out for Tails, who'll offer you a round trip ticket to the bonus rounds where Sonic must collect enough rings to earn each emerald.<br><br>Claim each section of Flicky Island, including its snowy peaks, its grassy hills, and even an active volcano, in your pursuit of the tirelessly conniving Dr. Robotnik.<br><br>Sonic 3D Blast for Saturn features two separate endings, each displayed in full motion video. There is no save feature in Sonic 3D Blast. ",3
79,   Shining Force III 3 - Sega Saturn - COMPLETE Original Case &amp; Manual ,140.99,  Good ,,1
80,   Mega Man 8 U.S. Sega Saturn Cib ,236.15,  Like New ,,2
81,   Mega Man 8 Anniversary Collector's Edition - Sega Saturn - COMPLETE ,278.99,  Very Good ,,1
82,   Sega Saturn Black Console (NTSC) (Serviced) ,101.45,  Used ,,5
83,   Panzer Dragoon Saga  (Sega Saturn) COMPLETE Nice Condition Rare 1DAYSHIP FREE ,406.44,  Very Good ,"              SEGA's popular dragon shooter series continues with a four-CD adventure for the ages. Blending time-tested Panzer action with some of the most impressive graphics and gameplay the Saturn has ever seen, this installment is packed with mysteries and puzzles. Hop on board your morphing dragon and get ready to travel through some the most darkly beautiful terrain ever. You'll encounter some pretty interesting characters, some friends, some foes, as you try to solve an age-old mystery. One of the most in-depth role-playing games ever created, Panzer Dragon Saga is a lushly detailed masterpiece for gamers of all skill levels. Released in Japan under the title Azel: Panzer Dragoon RPG ",3
84,   Complete Sega Saturn Black Console -- Tested And Working ,56.0,  Used ," Get back to classic video gaming with the Sega Saturn console. Dual processors and a full-color display bring a classic gaming console to life, making for quick gameplay and visuals that can be enjoyed by up to two players thanks to the dual controller ports. The Sega Saturn console was the first to accept both CDs and cartridges, giving gamers a wide selection of play possibilities. There are more than 245 games available on the classic Sega gaming console, which has its own internal memory storage and specialized memory cartridges for additional storage. Named by IGN as one of the 25 best gaming consoles of all time, the Sega Saturn console is shaped in a simple rectangle that fits onto any shelf. Place games into the Sega gaming console by lifting the top lid and inserting them directly inside. The Sega Saturn helped shape video gaming, and remains one of the best systems ever produced. A classic gaming console never goes out of style. ",8
85,   Albert Odyssey - Sega Saturn - COMPLETE Original Case &amp; Manual ,140.79,  Very Good ,,1
86,   Panzer Dragoon II Zwei (Sega Saturn) NTSC-U/C ,65.3,  Very Good ,"              Khourieats, or dragons, are beasts that once terrorized humans. Now, your village puts them to work and has a rule that any Khourieat who has a blue-white light in its throat must be put to death. You play the part of a child, one who has raised a Khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>One day, during the first flight on your Khourieat, your village is destroyed. It becomes another victim of the war between the Imperials and the Mecchanics. As the Khourieat stares at the airship that bombed your village, a streak fires from its throat. Not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. Your adventure now begins as you head toward your village for revenge.<br><br>Panzer Dragoon II Zwei is a prequel as it takes place before Panzer Dragoon. Similar to the first game, you ride on the back of a dragon who has two types of attacks. Players can also still turn the dragon as they fire upon enemies. A new feature is a beserker button that can be used when a meter bar is full. When used, the dragon will fire a number of laser blasts that automatically find their target. Another new option is the ability to select your path. Panzer Dragoon II Zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>Two other new features are that the dragon can change through the course of the complete game and Pandora's Box. When a level is completed points will be awarded in various categories. Depending on your score, your dragon may or may not morph. With a high enough score the dragon from the first Panzer Dragoon will become available. Pandora's Box is an object that will be released when particular milestones are reached. When released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want. ",3
87,   Panzer Dragoon II Zwei (Sega Saturn) ,37.65,  Good ,"              Khourieats, or dragons, are beasts that once terrorized humans. Now, your village puts them to work and has a rule that any Khourieat who has a blue-white light in its throat must be put to death. You play the part of a child, one who has raised a Khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>One day, during the first flight on your Khourieat, your village is destroyed. It becomes another victim of the war between the Imperials and the Mecchanics. As the Khourieat stares at the airship that bombed your village, a streak fires from its throat. Not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. Your adventure now begins as you head toward your village for revenge.<br><br>Panzer Dragoon II Zwei is a prequel as it takes place before Panzer Dragoon. Similar to the first game, you ride on the back of a dragon who has two types of attacks. Players can also still turn the dragon as they fire upon enemies. A new feature is a beserker button that can be used when a meter bar is full. When used, the dragon will fire a number of laser blasts that automatically find their target. Another new option is the ability to select your path. Panzer Dragoon II Zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>Two other new features are that the dragon can change through the course of the complete game and Pandora's Box. When a level is completed points will be awarded in various categories. Depending on your score, your dragon may or may not morph. With a high enough score the dragon from the first Panzer Dragoon will become available. Pandora's Box is an object that will be released when particular milestones are reached. When released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want. ",1
88,"   Virtua Fighter  (Sega Saturn, 1995) ",4.0,  Good ,"              When Sega released Virtua Fighter to Arcades in 1993, gamers witnessed a new type of fighting game. It was the first coin-op fighter to have 3D graphics, using masses of polygons to make up characters instead of the more traditional 2D sprites. Two years later, Sega has translated its flagship 3D fighting game to the 32-bit Saturn.<br><br>Players can choose from a selection of eight fighters, six male and two female, each with his or her own distinct fighting style. Fights are conducted as best two out of three affairs, meaning that a fighter has to defeat his or her opponent twice in order to win and advance to the next round. Fighters can be defeated by either hitting them to drain their life bar, or by forcing them off the edge of the fighting platform.<br><br>Fighters do not have access to the special techniques or super moves that have become a staple of 2D fighters. Instead, they must rely on a selection of throws as well as attacks performed either singly or in small combinations. The game features over 700 moves, with each fighter using techniques that are appropriate to his or her background and martial arts style.<br><br>In another departure from 2D fighting design, Virtua Fighter uses only three buttons. Players have one button each for punching, kicking, and blocking. When used together or in various combinations, players can bring out a character's full range of fighting techniques. ",1
89,   Panzer Dragoon Sega Saturn Video Game ,42.99,  Very Good ,,5
90,"   COMPLETE - Die Hard Arcade  (Sega Saturn, 1997) - WORKS GREAT, Actual Photos! ",51.44,  Like New ,"              Die Hard Arcade takes place after the second Die Hard movie, Die Hard with a Vengeance. Single or multiple players may take the role of John McClane and his female partner as they stand against a horde of terrorists to save John's wife and the president's daughter. <br><br>Gamers must traverse the rooftops, galleries, and restrooms of the Nakatomi Corporation's building, while fighting punks, martial arts experts, sumo wrestlers, and SWAT team members. Die Hard Arcade features multiple endings as well as the Sega Arcade classic Deep Scan. Completing Deep Scan in one try unlocks extra credits for Die Hard Arcade. ",5
91,"   Panzer Dragoon  (Sega Saturn, 1995) complete CIB ",44.99,  Good ,,3
92,"   Guardian Heroes  (Sega Saturn, 1996) Complete in Collectors Condition ",124.99,  Very Good ,"              Guardian Heroes is fantasy-themed action title in the spirit of Sega's hack-and-slash Golden Axe arcade game. Choose from four initially playable characters, each proficient in a different combat style, before mastering the assortment of combos and magic-based attacks needed to defeat your enemies. Your character can also move across each side-scrolling area's three planes (foreground, background, and middle) to avoid taking damage.<br><br>Defeating enemies in creative ways earns your character experience points to customize one of six attributes: strength, vitality, intelligence, mentality, agility, and luck. The story mode is notable for featuring more than 50 possible paths, introducing different encounters that will influence the game's ending. Guardian Heroes includes two-player co-op support as well as a competitive multiplayer mode for up to six players. ",0
93,"   Panzer Dragoon II Zwei (Sega Saturn,1996) *Classic Series*RARE* ",28.44,  Very Good ,"              Khourieats, or dragons, are beasts that once terrorized humans. Now, your village puts them to work and has a rule that any Khourieat who has a blue-white light in its throat must be put to death. You play the part of a child, one who has raised a Khourieat in secrecy as you one day hope to be able ride it as it flies above the clouds.<br><br>One day, during the first flight on your Khourieat, your village is destroyed. It becomes another victim of the war between the Imperials and the Mecchanics. As the Khourieat stares at the airship that bombed your village, a streak fires from its throat. Not only are you on a creature that flies you discover, but you are on a creature who is also a powerful weapon. Your adventure now begins as you head toward your village for revenge.<br><br>Panzer Dragoon II Zwei is a prequel as it takes place before Panzer Dragoon. Similar to the first game, you ride on the back of a dragon who has two types of attacks. Players can also still turn the dragon as they fire upon enemies. A new feature is a beserker button that can be used when a meter bar is full. When used, the dragon will fire a number of laser blasts that automatically find their target. Another new option is the ability to select your path. Panzer Dragoon II Zwei runs on rails so you do not have complete freedom, just alternate paths on some levels.<br><br>Two other new features are that the dragon can change through the course of the complete game and Pandora's Box. When a level is completed points will be awarded in various categories. Depending on your score, your dragon may or may not morph. With a high enough score the dragon from the first Panzer Dragoon will become available. Pandora's Box is an object that will be released when particular milestones are reached. When released, players will gain options, including: changing to any dragon, setting the difficulty level, choosing what level to begin on, and how much life you want. ",2
94,   Panzer Dragoon (Sega Saturn) Complete ,63.95,  Like New ,"              After your countryland was destroyed by a giant airship from beyond, the only thing left to do is hop on the back of a renegade dragon and shoot your way to vengeance. Boasting a wide variety of explorable environments, Panzer Dragoon transports you through ancient ruins, dark and eerie caves, and surreal landscapes. The music should be as awe-inspiring as the surroundings as several tracks were performed by the Israeli Symphony Orchestra.<br><br>Action can be viewed from three different perspectives: first-person, a third-person large view of the dragon, and a third-person small view of the dragon. Players will fend off enemies with 360 degrees of aiming ability. Hold down the fire button to ""lock on"" to multiple enemies, then release the key to let loose a display of guided dragonfire. Panzer Dragoon uses a 3D graphics engine and features art direction similar to the works of Moebius. ",1
95,   Shining Force III 3 - Sega Saturn - COMPLETE Original Case &amp; Manual ,148.99,  Good ,,1
96,   Megaman X4 X 4 - Sega Saturn - COMPLETE Original Case &amp; Manual ,148.99,  Very Good ,,1
97,"   Panzer Dragoon (Sega Saturn, 1995) disc only  ",17.98,Not Specified,,1
98,   Panzer Dragoon 1 Manual Sega Saturn Dragon I Instructions Book ,12.04,  Acceptable ,"              After your countryland was destroyed by a giant airship from beyond, the only thing left to do is hop on the back of a renegade dragon and shoot your way to vengeance. Boasting a wide variety of explorable environments, Panzer Dragoon transports you through ancient ruins, dark and eerie caves, and surreal landscapes. The music should be as awe-inspiring as the surroundings as several tracks were performed by the Israeli Symphony Orchestra.<br><br>Action can be viewed from three different perspectives: first-person, a third-person large view of the dragon, and a third-person small view of the dragon. Players will fend off enemies with 360 degrees of aiming ability. Hold down the fire button to ""lock on"" to multiple enemies, then release the key to let loose a display of guided dragonfire. Panzer Dragoon uses a 3D graphics engine and features art direction similar to the works of Moebius. ",5
